"belowILDThreshold","belowITDThreshold","belowLSDThreshold","lapILDErrorDb","lapITDErrorUs","lapLSDdB","message","method","retention","status","subjectId"
"True","True","True","0.5961062248050308","6.699243379571249","2.772654478819614","","RANF","100","completed","10"
"True","True","True","0.5536229309214923","6.594157208911308","2.557320716180382","","RANF","100","completed","22"
"True","True","True","0.6654388655336986","9.851828499369484","2.9299133982675873","","RANF","100","completed","26"
"True","True","True","0.5954628692636277","6.46279949558638","2.5156944541140756","","RANF","100","completed","30"
"True","True","True","0.7620183671283646","6.778058007566203","2.8044192753888217","","RANF","100","completed","32"
"True","True","True","0.9878237762468313","16.34089953762085","2.691266639868353","","RANF","100","completed","33"
"True","True","True","0.5587964092892125","8.485708280790247","2.4074749927785057","","RANF","100","completed","37"
"True","True","True","0.5048640948678547","6.830601092896175","2.2940355183157566","","RANF","100","completed","40"
"True","True","True","0.6769978000581098","6.646700294241277","2.6856545354669925","","RANF","100","completed","48"
"True","True","True","0.705402283226347","6.200084068936527","2.612141431770875","","RANF","100","completed","59"
"True","True","True","0.8345185274958437","7.934005884825558","3.0616766408777467","","RANF","100","completed","68"
"True","True","True","0.6336714878283224","5.96364018495166","2.395788256131052","","RANF","100","completed","71"
"True","True","True","0.6510193721716103","6.9619588062211015","2.522880112913692","","RANF","100","completed","73"
"True","True","True","0.6450392748686009","5.464480874316941","2.767969829472285","","RANF","100","completed","78"
"True","True","True","0.536930255619603","8.039092055485499","2.7085702484059335","","RANF","100","completed","80"
"True","True","True","0.6018295711415147","8.669609079445145","2.6627398911254994","","RANF","100","completed","82"
"True","True","True","0.5477944550201687","6.988230348886087","2.354334719044406","","RANF","100","completed","83"
"True","True","True","0.6464432344535064","6.883144178226145","2.870189404927724","","RANF","100","completed","88"
"True","True","True","0.455133317223167","8.64333753678016","2.6308483323924867","","RANF","100","completed","89"
"True","True","True","0.6699231645768606","9.930643127364439","2.5752094466608377","","RANF","100","completed","100"
"True","True","True","0.5126092205462698","5.595838587641867","2.384462545729585","","RANF","100","completed","104"
"True","True","True","0.7666693561172659","10.114543926019335","2.842549578740475","","RANF","100","completed","116"
"True","True","True","0.6479333190249049","7.277217318200924","2.54040386799981","","RANF","100","completed","118"
"True","True","True","0.676860800499628","9.247583018074822","3.0161469843744504","","RANF","100","completed","128"
"True","True","True","0.6883347013600232","9.8255569567045","2.793523388869395","","RANF","100","completed","141"
