subjectId,method,retainedDirections,barycentricFallbackCount,status,message,meanAIRM,medianAIRM,stdAIRM,iqrAIRM,meanDeterminantError,meanAnisotropyError,meanOrientationErrorDeg,orientationValidCount,orientationValidProportion,targetITDMode,reconstructedITDMode,cueExtractionMode,LSDdB,ILDErrorDb,perceptualStatus,lateralRMSErrorDeg,localPolarRMSErrorDeg,quadrantErrorPercent,perceptualTrials,selfLateralRMSErrorDeg,selfLocalPolarRMSErrorDeg,selfQuadrantErrorPercent,selfPerceptualTrials,relativeLateralRMSErrorDeg,relativeLocalPolarRMSErrorDeg,relativeQuadrantErrorPercentagePoints,perceptualReferenceConvention
10,FSP_AE,100,NaN,completed,,0.459119330188714,0.420582731493726,0.217061011625802,0.305071458878263,0.308809041839417,0.362655847072031,7.44069068783129,789,0.994955863808323,barumerli_maxiacce,barumerli_maxiacce,barumerli2023_pge_ild_maxiacce,6.76491040076608,1.71009559299849,completed,14.759391826841,36.5342114081275,7.67903064115417,300,14.1884390479158,36.304903680633,7.35555153051983,300,0.570952778925184,0.229307727494501,0.323479110634333,absolute_and_relative_to_dense_self
10,FSP_AE,19,NaN,completed,,0.645673576765266,0.572026186496718,0.355853857652807,0.381243070785193,0.549343505233974,0.443458916442228,8.53532105731302,788,0.993694829760404,barumerli_maxiacce,barumerli_maxiacce,barumerli2023_pge_ild_maxiacce,6.80649806456873,1.83816929581391,completed,14.7275002479665,37.6765951897543,7.06114363999686,300,14.1884390479158,36.304903680633,7.35555153051983,300,0.539061200050684,1.37169150912131,-0.294407890522974,absolute_and_relative_to_dense_self
10,FSP_AE,5,NaN,completed,,0.792722495613573,0.754452933748211,0.371492943312008,0.531122830452693,0.780557629499374,0.51355423497937,7.90972525636971,791,0.997477931904161,barumerli_maxiacce,barumerli_maxiacce,barumerli2023_pge_ild_maxiacce,7.02451553636529,2.19025212904809,completed,14.9252871650525,38.0282707082599,7.74326728739484,300,14.1884390479158,36.304903680633,7.35555153051983,300,0.736848117136713,1.72336702762689,0.38771575687501,absolute_and_relative_to_dense_self
10,FSP_AE,3,NaN,completed,,0.8619004919831,0.831486544913387,0.395898203989132,0.574205898723807,0.901741348192036,0.561255201282024,7.14085625565618,790,0.996216897856242,barumerli_maxiacce,barumerli_maxiacce,barumerli2023_pge_ild_maxiacce,7.10044690520267,2.2015657423106,completed,14.8879793427324,38.4572934057987,9.47142333280947,300,14.1884390479158,36.304903680633,7.35555153051983,300,0.699540294816634,2.1523897251657,2.11587180228964,absolute_and_relative_to_dense_self
22,FSP_AE,100,NaN,completed,,0.432468924295422,0.388036978735536,0.219532800301124,0.327610580992696,0.352260892861337,0.266931387309218,6.97386090584855,790,0.996216897856242,barumerli_maxiacce,barumerli_maxiacce,barumerli2023_pge_ild_maxiacce,6.65172082314764,2.04416725456746,completed,14.7064510454303,37.5883507624238,11.6162888329135,300,14.265715025132,36.5955731659448,11.6996181133554,300,0.440736020298299,0.992777596478916,-0.0833292804418324,absolute_and_relative_to_dense_self
22,FSP_AE,19,NaN,completed,,0.675214032159494,0.616732815044062,0.357291085291158,0.47564444591519,0.655871692378531,0.425275870668132,8.02879013062865,790,0.996216897856242,barumerli_maxiacce,barumerli_maxiacce,barumerli2023_pge_ild_maxiacce,6.69876338537432,2.12993995795682,completed,14.9017134542073,38.2410873331623,12.7672794452683,300,14.265715025132,36.5955731659448,11.6996181133554,300,0.635998429075366,1.64551416721743,1.06766133191294,absolute_and_relative_to_dense_self
22,FSP_AE,5,NaN,completed,,0.828433063591922,0.801448630244554,0.39020546840778,0.522766939667484,0.836619367955082,0.518857696270621,8.7132527161405,791,0.997477931904161,barumerli_maxiacce,barumerli_maxiacce,barumerli2023_pge_ild_maxiacce,7.05053227175918,2.34341986803493,completed,15.1771717283158,39.0682230565238,13.9949275955166,300,14.265715025132,36.5955731659448,11.6996181133554,300,0.911456703183813,2.47264989057891,2.2953094821613,absolute_and_relative_to_dense_self
22,FSP_AE,3,NaN,completed,,0.886679296837738,0.818555802553018,0.422082754423744,0.519841601167673,0.919811432226326,0.494357294226239,10.1336148264806,791,0.997477931904161,barumerli_maxiacce,barumerli_maxiacce,barumerli2023_pge_ild_maxiacce,7.52953718469503,2.53133302435227,completed,15.2263291201517,39.6753498445058,13.0679004829741,300,14.265715025132,36.5955731659448,11.6996181133554,300,0.960614095019693,3.07977667856093,1.36828236961879,absolute_and_relative_to_dense_self
26,FSP_AE,100,NaN,completed,,0.522788543641252,0.461601054460301,0.303724440927109,0.391346313934143,0.426893956044783,0.346045743353816,7.72159642104805,789,0.994955863808323,barumerli_maxiacce,barumerli_maxiacce,barumerli2023_pge_ild_maxiacce,6.81613546356717,1.83948740486805,completed,14.8472770635234,34.7621003023494,17.1014468027025,300,14.2710380702444,35.3941949179779,12.0960486540953,300,0.576238993279029,-0.632094615628546,5.00539814860723,absolute_and_relative_to_dense_self
26,FSP_AE,19,NaN,completed,,0.821416644917016,0.708022333938683,0.52175479039085,0.6270549333547,0.726089712894242,0.580543294814422,9.52154297686515,791,0.997477931904161,barumerli_maxiacce,barumerli_maxiacce,barumerli2023_pge_ild_maxiacce,7.01561770462362,2.05186168437527,completed,14.7334503084904,37.371241894151,15.2141917841623,300,14.2710380702444,35.3941949179779,12.0960486540953,300,0.462412238246019,1.97704697617302,3.11814313006697,absolute_and_relative_to_dense_self
