method,retainedDirections,nSubjects,LatAz0El0,LatAz45El0,LatAz90El0,VertAz0El0,VertAz0El45,meanAbsErrorDeg
Measured,dense,41,1.6982311275045772,3.07538608672221,6.777735661875912,4.442955537855905,5.713173548089575,0.0
SUpDEq-MCA,19,41,1.8435678993400055,2.5460352583879127,5.656379594239094,4.26677392860014,5.002045310677538,0.5366707028948693
SUpDEq-MCA,5,41,1.655518043322121,2.616542404483109,5.453711997559996,6.834868664786809,5.927361141568914,0.8863362302295432
SUpDEq-Bary-MCA,19,41,1.8339066206400851,3.02439460909189,5.765248222723794,6.305289176623654,7.043811931568026,0.8784252864328291
SUpDEq-Bary-MCA,5,41,2.1070592506470787,3.081163311434807,6.381056651624753,5.62644344903384,6.387255752489392,0.533770894736802
RANF,19,41,1.7129991573973653,2.8806667021311965,6.800738176917415,4.45008097173821,6.355625559666895,0.17641347499698576
RANF,5,41,1.8463467573148609,2.898318361538108,7.758971480511095,4.477740542282594,7.227635893446762,0.5711333046826887
FSP-AE,19,41,1.8114273885719396,3.3217080641181305,7.757110086207435,4.724827969868614,6.5282276997184585,0.48716384928727974
FSP-AE,5,41,1.7370867156280603,3.311380534592055,9.439512920360324,6.516596921350798,9.592925310641201,1.7780040881048518
